"State","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"ANDHRA PRADESH","95.63379123138932%","4.366208768610677%","95.78094302554028%","4.219056974459725%","85.9165302782324%","14.083469721767594%","61.48592206771166%","38.51407793228834%","62.90465997036061%","37.09534002963939%","84.32510885341074%","15.67489114658926%"
"ARUNACHAL PRADESH","96.63288288288288%","3.3671171171171173%","88.83170355120947%","11.16829644879053%","83.39865011974744%","16.60134988025256%","87.57351339577434%","12.426486604225659%","89.56991720331187%","10.430082796688133%","86.53762505437146%","13.462374945628534%"
"ASSAM","99.78474526439582%","0.2152547356041833%","2.201528576827783%","97.79847142317222%","87.36666386695784%","12.633336133042164%","98.27086614173228%","1.7291338582677165%","76.88379106877328%","23.116208931226716%","88.56493893357164%","11.435061066428359%"
"BIHAR","98.67716225115768%","1.3228377488423224%","95.52219503489232%","4.477804965107677%","76.69401067915497%","23.30598932084503%","93.87305478410624%","6.126945215893752%","77.63554606960432%","22.364453930395683%","96.84908961585786%","3.150910384142131%"
"CHHATTISGARH","97.00983541738744%","2.9901645826125636%","97.64275328388003%","2.3572467161199695%","65.79242446645966%","34.20757553354034%","90.36995529501594%","9.630044704984051%","48.92412091301666%","51.07587908698334%","98.33254224123583%","1.6674577587641704%"
"DELHI","100%","0%","100%","0%","15%","85%","28.571428571428573%","71.42857142857143%","90%","10%","38.095238095238095%","61.904761904761905%"
"GOA","96.62664379645511%","3.373356203544883%","91.08527131782945%","8.914728682170542%","43.89911383776415%","56.10088616223585%","96.02272727272727%","3.977272727272727%","64.02085747392816%","35.97914252607184%","91.57530294287363%","8.424697057126371%"
"GUJARAT","95.65773269042103%","4.342267309578976%","72.7385872504897%","27.2614127495103%","79.08186671115189%","20.91813328884811%","66.08177367668397%","33.91822632331604%","57.29829871620917%","42.70170128379083%","91.7168264088421%","8.283173591157903%"
"HARYANA","97.7517620576405%","2.2482379423594967%","0%","0%","97.67853520918997%","2.3214647908100234%","86.03095826722262%","13.969041732777388%","86.74905944666808%","13.250940553331915%","90.7611421777175%","9.238857822282498%"
"HIMACHAL PRADESH","98.32177531206658%","1.6782246879334257%","99.98972567553683%","0.010274324463166546%","97.50200160128102%","2.497998398718975%","97.05256656601702%","2.947433433982981%","94.9564202618431%","5.043579738156887%","88.28902473699175%","11.710975263008246%"
"JAMMU & KASHMIR","95.07921093444263%","4.920789065557376%","96.42256390817124%","3.577436091828757%","88.2632095964138%","11.736790403586204%","65.72410072963689%","34.27589927036311%","74.6745578966837%","25.32544210331631%","82.62796621145185%","17.37203378854816%"
"JHARKHAND","98.146315020387%","1.8536849796130006%","91.34906371383849%","8.650936286161517%","77.11052493348406%","22.889475066515935%","96.14357653120975%","3.8564234687902563%","81.53571763822397%","18.464282361776025%","96.61042890613042%","3.389571093869574%"
"KARNATAKA","94.96699855407967%","5.033001445920332%","87.22382468627083%","12.776175313729162%","67.84983855622065%","32.15016144377936%","51.75604201315533%","48.24395798684467%","43.27080118071892%","56.72919881928108%","82.76875282162725%","17.231247178372755%"
"KERALA","99.5422922006591%","0.4577077993409008%","80.3494524424757%","19.650547557524302%","43.13665358194308%","56.86334641805692%","99.04180653036313%","0.958193469636863%","93.65379916931346%","6.346200830686538%","96.02324869990822%","3.976751300091771%"
"LADAKH","0.7633587786259542%","99.23664122137404%","0%","0%","0%","0%","0%","100%","5.384615384615385%","94.61538461538461%","0%","100%"
"MADHYA PRADESH","93.34497278422512%","6.655027215774879%","96.78761805616526%","3.2123819438347403%","80.9899051301471%","19.01009486985291%","78.71278630049451%","21.287213699505486%","54.38905610848261%","45.61094389151739%","90.41931366750397%","9.58068633249603%"
"MAHARASHTRA","94.01308255543603%","5.986917444563972%","81.53260888403612%","18.46739111596388%","45.541070903715486%","54.458929096284514%","40.96732863549007%","59.03267136450993%","45.74733558617104%","54.25266441382896%","84.25294051168815%","15.747059488311846%"
"MANIPUR","100%","0%","100%","0%","97.47634069400631%","2.5236593059936907%","99.37106918238993%","0.6289308176100629%","99.68253968253968%","0.31746031746031744%","99.66329966329967%","0.3367003367003367%"
"MEGHALAYA","90.73254670599803%","9.267453294001967%","88.86420438767009%","11.135795612329908%","74.63888888888889%","25.36111111111111%","86.4068209500609%","13.5931790499391%","72.15992198927353%","27.840078010726476%","77.94846382556987%","22.05153617443013%"
"MIZORAM","100%","0%","85.71428571428571%","14.285714285714286%","10.714285714285714%","89.28571428571429%","37.80487804878049%","62.19512195121951%","94.04761904761905%","5.9523809523809526%","37.5%","62.5%"
"NAGALAND","89.30811155959955%","10.691888440400447%","98.00611296854139%","1.9938870314586161%","56.20925846265842%","43.79074153734158%","74.96082456024189%","25.039175439758104%","84.2922263282512%","15.7077736717488%","76.31790027182389%","23.682099728176105%"
"ODISHA","90.77552377304492%","9.22447622695507%","83.67164071250497%","16.328359287495033%","64.35346727061254%","35.64653272938746%","88.42699957375179%","11.573000426248221%","55.19245364848748%","44.80754635151252%","88.89170480217807%","11.108295197821931%"
"PUNJAB","99.38935026868589%","0.6106497313141183%","60.305851063829785%","39.694148936170215%","89.18721015377105%","10.812789846228949%","91.92485972188338%","8.075140278116614%","98.07034684904738%","1.9296531509526136%","74.26814268142681%","25.731857318573187%"
"RAJASTHAN","96.26993885697924%","3.7300611430207686%","100%","0%","91.79572053434212%","8.20427946565788%","50.500983513049896%","49.499016486950104%","42.12565699988245%","57.87434300011755%","94.20470180564284%","5.795298194357154%"
"SIKKIM","98.18393794000269%","1.8160620599973096%","92.72458972409784%","7.27541027590216%","91.38839285714286%","8.611607142857142%","95.5678423329023%","4.4321576670976945%","97.8661666889871%","2.1338333110129013%","87.1227724545536%","12.877227545446404%"
"TAMIL NADU","97.05019962929225%","2.949800370707744%","93.38317234160625%","6.616827658393753%","64.97941848774352%","35.020581512256484%","60.28017795086068%","39.71982204913932%","55.42446445651586%","44.57553554348414%","75.13527000864065%","24.864729991359354%"
"TELANGANA","90.82024432809773%","9.179755671902269%","89.23449110074304%","10.765508899256956%","77.9630537845349%","22.036946215465097%","60.53921568627451%","39.46078431372549%","43.88288602300453%","56.11711397699547%","67.59717314487632%","32.40282685512368%"
"TRIPURA","92.93575920934411%","7.064240790655885%","99.37646141855028%","0.6235385814497272%","96.94843523777703%","3.0515647622229647%","98.20971867007673%","1.7902813299232736%","36.81985089573829%","63.18014910426171%","99.27721561214278%","0.7227843878572223%"
"UTTAR PRADESH","95.56641468814301%","4.433585311856985%","96.92188364844%","3.0781163515599963%","65.79011786147943%","34.20988213852056%","75.62326769135348%","24.37673230864652%","66.29469374687731%","33.70530625312268%","91.32771270040756%","8.672287299592437%"
"UTTARAKHAND","94.98189002304906%","5.018109976950939%","98.02819678596076%","1.971803214039239%","80.19279320633463%","19.807206793665365%","87.49138864285011%","12.508611357149887%","83.61898483849703%","16.381015161502965%","88.55287260616153%","11.447127393838468%"
"WEST BENGAL","99.45264100714054%","0.5473589928594531%","90.51766079595212%","9.482339204047873%","66.46874163482832%","33.53125836517168%","98.5930870201732%","1.4069129798268034%","81.3390242691945%","18.6609757308055%","89.52647073499327%","10.473529265006736%"