"State","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"ANDHRA PRADESH","0.6071019473081328%","15.98101783668794%","83.41188021600392%","8.565534854785371%","68.65033888870698%","22.784126256507644%","70.9692717787699%","19.526075651278028%","9.504652569952084%","15.243732476348194%","18.191805079604517%","66.5644624440473%","16.41409171422948%","83.58590828577051%","8.377316299182821%","26.948815337312354%","64.67386836350482%"
"ARUNACHAL PRADESH","16.149269875608436%","64.83504597079502%","19.01568415359654%","11.438089950027763%","78.77845641310383%","9.783453636868407%","28.470641784251253%","53.607191624943106%","17.922166590805645%","30.155979202772965%","43.00259965337955%","26.841421143847487%","13.331842075830444%","86.66815792416956%","94.65065502183405%","5.152838427947598%","0.1965065502183406%"
"ASSAM","31.815604921681434%","67.49412085835468%","0.6902742199638853%","0.13753425232810843%","92.65819063717204%","7.2042751104998475%","28.984799558950932%","45.48738547163372%","25.52781496941535%","41.710935203460295%","21.228425649855122%","37.060639146684586%","7.1069746933119164%","92.89302530668809%","70.41479444001176%","21.503485491118298%","8.081720068869945%"
"BIHAR","0.9928212973347322%","36.832067972856336%","62.17511072980893%","23.369152284814934%","72.9491970455826%","3.681650669602477%","65.91606960081883%","30.671608614290292%","3.412321784890874%","12.381119748594111%","50.57269268938141%","37.04618756202448%","25.740783797049783%","74.25921620295021%","11.080694523476309%","55.55777699173113%","33.36152848479256%"
"CHHATTISGARH","0.17991373998767715%","23.70856438693777%","76.11152187307455%","1.3576334512990615%","74.8141114961096%","23.82825505259134%","76.10317905361687%","22.170186281819806%","1.7266346645633193%","11.380063150624105%","36.77783807785288%","51.84209877152301%","22.18505443503592%","77.81494556496408%","54.808862622091155%","38.97712891251824%","6.2140084653906005%"
"DELHI","7.6923076923076925%","3.8461538461538463%","88.46153846153847%","8.333333333333334%","37.5%","54.166666666666664%","34.78260869565217%","4.3478260869565215%","60.869565217391305%","74.07407407407408%","22.22222222222222%","3.7037037037037037%","62.96296296296296%","37.03703703703704%","44.827586206896555%","34.48275862068966%","20.689655172413794%"
"GOA","30.813287514318443%","54.69644902634593%","14.490263459335624%","6.091030789825971%","27.309236947791163%","66.59973226238286%","47.17626925270964%","24.187107815173988%","28.63662293211637%","86.96900114810562%","2.4110218140068884%","10.619977037887486%","22.92626728110599%","77.07373271889401%","98.664343786295%","1.2775842044134726%","0.05807200929152149%"
"GUJARAT","0.10384053433521186%","24.397829263201835%","75.49833020246295%","20.615405480123727%","66.84958087955307%","12.535013640323195%","75.3669894609492%","19.92511589827026%","4.707894640780546%","37.506722149417065%","34.8815596430865%","27.611718207496438%","51.890278641654604%","48.109721358345396%","1.9710803509727137%","45.920151613511194%","52.10876803551609%"
"HARYANA","0%","0%","0%","33.87697527335755%","63.60795087861634%","2.5150738480261094%","61.29478361882986%","25.343425589585678%","13.36179079158446%","15.767152840521454%","20.663618092305423%","63.569229067173126%","65.38454446554681%","34.61545553445319%","0.011985322589567238%","11.643279921818818%","88.34473475559162%"
"HIMACHAL PRADESH","1.1368567213399288%","43.562151060198445%","55.30099221846163%","6.834085927803745%","79.73276294594523%","13.433151126251023%","61.20207034963558%","34.997887398331045%","3.800042252033379%","73.43816179584921%","19.282083862770012%","7.279754341380771%","4.537762097352494%","95.4622379026475%","38.76449527066745%","53.938438518676854%","7.297066210655694%"
"JAMMU & KASHMIR","14.786029291664398%","61.409048837589154%","23.804921870746448%","11.557228874723064%","85.75292566566539%","2.689845459611542%","57.81243631719809%","38.735446357004086%","3.452117325797818%","58.0209057334042%","26.56554506180411%","15.413549204791693%","31.9557114667836%","68.0442885332164%","19.328008358652166%","66.85546955553417%","13.816522085813663%"
"JHARKHAND","0.6305285683225194%","51.487063293167175%","47.88240813851031%","1.9382594567381404%","87.6290075287764%","10.432733014485457%","37.700461461141316%","58.51190204230822%","3.787636496550464%","18.880525083765548%","45.514527011520634%","35.60494790471382%","14.706423918797615%","85.29357608120239%","88.7249968185657%","9.29557260033087%","1.9794305811034372%"
"KARNATAKA","5.174441689203869%","34.037293138452085%","60.78826517234404%","19.265979443229153%","72.58023433520123%","8.153786221569627%","62.594767912259144%","27.947169698240987%","9.458062389499865%","25.042145249387488%","31.49692433335581%","43.4609304172567%","25.414484675492027%","74.58551532450798%","26.308219024145398%","37.730647348351475%","35.96113362750313%"
"KERALA","0.12422360248447205%","3.2919254658385095%","96.58385093167702%","12.95534123717673%","74.85103507586462%","12.193623686958658%","46.93977676928738%","31.368821292775664%","21.691401937936956%","61.71446191797718%","19.12426765340734%","19.16127042861548%","1.9918347148336013%","98.0081652851664%","74.22266180379552%","24.015577672003463%","1.7617605242010261%"
"LADAKH","0%","0%","0%","17.557251908396946%","51.908396946564885%","30.53435114503817%","72.51908396946565%","19.083969465648856%","8.396946564885496%","52.67175572519084%","25.954198473282442%","21.374045801526716%","35.87786259541985%","64.12213740458016%","0%","2.2900763358778624%","97.70992366412214%"
"MADHYA PRADESH","0.5383442879195348%","29.743157833419094%","69.71849787866137%","2.970455189038868%","86.90027567411882%","10.129269136842309%","73.61060318143248%","24.983925519582183%","1.4054712989853357%","28.567788461538463%","39.14134615384615%","32.29086538461539%","42.299571463612885%","57.700428536387115%","8.690679697568312%","60.411624325101975%","30.897695977329715%"
"MAHARASHTRA","0.7343877042515803%","14.039919217352532%","85.22569307839589%","8.039544699695544%","69.18160116246887%","22.778854137835594%","82.26643149867718%","14.759385104874548%","2.9741833964482716%","16.662623672309532%","26.21159877324%","57.12577755445047%","24.255983350676377%","75.74401664932363%","12.128394804473155%","32.9860387580746%","54.88556643745225%"
"MANIPUR","0%","4.126984126984127%","95.87301587301587%","3.559870550161812%","93.85113268608414%","2.588996763754045%","1.5822784810126582%","10.443037974683545%","87.9746835443038%","1.597444089456869%","91.3738019169329%","7.0287539936102235%","91.63987138263666%","8.360128617363344%","46.79245283018868%","22.641509433962263%","30.566037735849058%"
"MEGHALAYA","0.1712747736726205%","29.239050648397356%","70.58967457793003%","4.007820136852395%","47.31182795698925%","48.68035190615836%","42.348059555772515%","46.13131559677813%","11.520624847449353%","75.0920245398773%","18.012269938650306%","6.895705521472393%","0.19656019656019655%","99.8034398034398%","99.90150209308052%","0.04924895345973898%","0.04924895345973898%"
"MIZORAM","0.23076923076923078%","10.692307692307692%","89.07692307692308%","2.0563594821020565%","54.45544554455446%","43.48819497334349%","21.725965177895535%","37.85011355034065%","40.42392127176382%","59.968228752978554%","14.853057982525813%","25.17871326449563%","92.3913043478261%","7.608695652173913%","98.08027923211169%","1.6579406631762652%","0.2617801047120419%"
"NAGALAND","14.079302928362655%","56.54000992665306%","29.380687144984282%","8.769646500854796%","57.68929575911322%","33.54105774003199%","48.21481751100228%","35.2017912489108%","16.583391240086915%","61.11184645929848%","22.005294506949042%","16.88285903375248%","9.309713428489488%","90.69028657151051%","96.19839816428745%","3.582066500452309%","0.21953533526024313%"
"ODISHA","1.4890327428257666%","26.501314914891772%","72.00965234228246%","10.079826620913853%","60.97236770814521%","28.947805670940944%","48.87700921076395%","42.826801517067004%","8.296189272169045%","13.535149194422369%","33.68759482696337%","52.777255978614264%","13.721068507454028%","86.27893149254596%","78.80512913129854%","20.255011739208957%","0.9398591294925049%"
"PUNJAB","0%","0%","100%","16.215557181175324%","52.23116313094367%","31.553279687881005%","15.776639843940503%","23.628383321141186%","60.59497683491831%","11.992099322799097%","53.4706546275395%","34.5372460496614%","43.23517437915592%","56.76482562084408%","4.07055630936228%","37.62550881953867%","58.30393487109905%"
"RAJASTHAN","0.25293469096569166%","0.7652895777936313%","98.98177573124067%","5.7202571807483755%","89.42360959559502%","4.8561332236566%","81.5115757151187%","17.223674109745918%","1.2647501751353891%","3.333039414513711%","14.187041539126893%","82.4799190463594%","39.477884655773515%","60.522115344226485%","0.06979188564221148%","9.57494219045617%","90.35526592390161%"
"SIKKIM","3.5192862292718097%","63.12635183850036%","33.35436193222783%","25.871831745461083%","72.1238540355923%","2.0043142189466114%","58.32886026122741%","34.16532474503489%","7.505814993737699%","49.211599456275486%","30.820117806977798%","19.968282736746715%","23.38205552491267%","76.61794447508733%","95.62800339206633%","3.8349194384245737%","0.5370771695090926%"
"TAMIL NADU","0.060018050541516245%","0.6344765342960289%","99.30550541516246%","11.967685624974628%","67.31259331429834%","20.71972106072703%","68.5285550675889%","23.69353689659215%","7.777908035818958%","2.666142564755954%","10.264264834117228%","87.06959260112681%","15.352047693574214%","84.6479523064258%","12.253964224516995%","33.41916064515544%","54.326875130327565%"
"TELANGANA","5.949046285180739%","20.674936641323196%","73.37601707349606%","46.712987707108496%","46.712987707108496%","6.574024585783004%","46.68088509730738%","35.12396694214876%","18.195147960543856%","20.25113545284531%","23.550627838632114%","56.19823670852258%","13.194444444444445%","86.80555555555556%","1.73727114793532%","26.045703594814913%","72.21702525724977%"
"TRIPURA","0.056173463655769015%","36.45657791259409%","63.48724862375014%","11.400469431094221%","88.24186878283223%","0.3576617860735442%","1.0149453490965872%","96.12982377871961%","2.8552308721838053%","78.5382961873515%","16.34800316777916%","5.113700644869329%","11.533180778032037%","88.46681922196797%","99.69668688754084%","0.0699953336444237%","0.2333177788147457%"
"UTTAR PRADESH","0.20331667148152913%","1.8706347607175198%","97.92604856780095%","0.8250749020511638%","76.04189662910446%","23.133028468844387%","44.42996434663172%","50.54207424774545%","5.027961405622831%","2.073967118432711%","11.839138715389822%","86.08689416617747%","58.48768250952885%","41.51231749047115%","0.7215176565223876%","54.15392213672894%","45.12456020674867%"
"UTTARAKHAND","0.05711022272986865%","5.356938892061679%","94.58595088520845%","9.53976544791564%","75.2603396734667%","15.199894878617654%","56.56724743249008%","35.971388259999344%","7.461364307510582%","49.47541522775859%","27.02516033547114%","23.49942443677027%","35.24425239964376%","64.75574760035623%","24.946215205375168%","62.61874027736405%","12.435044517260781%"
"WEST BENGAL","4.471224790949336%","57.452041318248895%","38.07673389080177%","33.06002287048977%","59.762536191333545%","7.177440938176686%","66.8450498662126%","26.28800778399416%","6.866942349793238%","31.04657107383694%","45.134746938676145%","23.818681987486915%","14.331652415405978%","85.66834758459402%","75.92127405311807%","15.540326317586517%","8.538399629295418%"